25-04-10 08:00:02 INFO  | Monitor thread successfully connected to server with description ServerDescription{address=localhost:27018, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=102713200, setName='rs0', canonicalAddress=localhost:27018, hosts=[localhost:27018, localhost:27017], passives=[], arbiters=[], primary='localhost:27018', tagSet=TagSet{[]}, electionId=7fffffff0000000000000047, setVersion=3, topologyVersion=TopologyVersion{processId=67f323eab0eb5c8808379c52, counter=7}, lastWriteDate=Thu Apr 10 07:59:56 KST 2025, lastUpdateTimeNanos=252642411532700}
25-04-10 08:00:02 INFO  | Discovered replica set primary localhost:27018 with max election id 7fffffff0000000000000047 and max set version 3
25-04-10 08:00:03 INFO  | Cannot determine local hostname
25-04-10 08:00:04 INFO  | Netty started on port 80 (http)
25-04-10 08:00:05 INFO  | Cannot determine local hostname
25-04-10 08:00:07 INFO  | Cannot determine local hostname
25-04-10 08:00:07 INFO  | Started ChatGatewayApplication in 15.646 seconds (process running for 16.513)
25-04-10 08:02:21 INFO  | [AUTH] path: /view/friendListView
25-04-10 08:02:21 WARN  | JWT 디코딩 실패: CharSequence cannot be null or empty.
25-04-10 08:02:22 INFO  | [AUTH] AccessToken 재발급 완료 : user1
25-04-10 08:02:25 INFO  | [AUTH] path: /view/friendListView
25-04-10 08:02:32 INFO  | [AUTH] path: /
25-04-10 08:02:32 INFO  | [AUTH] path: /login
25-04-10 08:02:32 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:02:37 INFO  | [AUTH] path: /view/chatView
25-04-10 08:02:37 INFO  | [AUTH] path: /view/chatView
25-04-10 08:02:38 INFO  | [AUTH] path: /ws/chat/room2
25-04-10 08:02:38 INFO  | [AUTH] path: /ws/chat/room2
25-04-10 08:02:39 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:02:40 INFO  | [AUTH] path: /view/chatView
25-04-10 08:02:40 INFO  | [AUTH] path: /view/chatView
25-04-10 08:02:40 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:02:40 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:02:40 INFO  | [AUTH] path: /api/chat/history
25-04-10 08:02:42 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:02:44 INFO  | [AUTH] path: /
25-04-10 08:02:44 INFO  | [AUTH] path: /login
25-04-10 08:02:44 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:02:45 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:02:48 INFO  | [AUTH] path: /view/friendListView
25-04-10 08:08:28 INFO  | [AUTH] path: /
25-04-10 08:08:28 INFO  | [AUTH] path: /login
25-04-10 08:08:28 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:08:31 INFO  | [AUTH] path: /view/chatView
25-04-10 08:08:31 INFO  | [AUTH] path: /view/chatView
25-04-10 08:08:31 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:08:31 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:08:31 INFO  | [AUTH] path: /api/chat/history
25-04-10 08:08:32 INFO  | [AUTH] path: /api/chat/history
25-04-10 08:08:33 INFO  | [AUTH] path: /api/chat/history
